Ind,mnm1_sd,mnm2_sd,mnm3_sd,mnp4_sd,mxm1_sd,mxm2_sd,mxm3_sd,mxp3_sd,mxp4_sd,mnm1av,mnm2av,mnm3av,mnp4av,mxm1av,mxm2av,mxm3av,mxp3av,mxp4av,sex,dimension
F37,NA,NA,NA,NA,-0.415000000000001,-0.249000000000001,0.180999999999999,-0.505,-0.639000000000003,NA,NA,NA,NA,9.3995,10.8465,10.4085,6.8915,8.3885,female,breadth
F38,-0.0600000000000005,NA,-0.272,NA,NA,NA,NA,NA,NA,8.16,NA,10.734,NA,NA,NA,NA,NA,NA,female,breadth
F39,NA,NA,NA,NA,-0.358000000000001,-0.186,-0.425000000000001,NA,NA,NA,NA,NA,NA,10.228,11.936,10.9145,NA,NA,female,breadth
F4,0.0680000000000005,NA,-0.227000000000002,-0.0239999999999991,-0.241999999999997,-0.0459999999999994,0.00200000000000067,NA,-0.0489999999999995,7.846,NA,10.9415,6.906,9.61,11.359,11.304,NA,8.5375,female,breadth
F40,-0.111000000000002,-0.0800000000000001,-0.145,NA,NA,NA,NA,NA,NA,7.6245,9.64,10.2065,NA,NA,NA,NA,NA,NA,female,breadth
F41,NA,NA,NA,NA,-0.389999999999999,-0.176000000000002,0.157999999999999,-0.206999999999999,-0.157999999999999,NA,NA,NA,NA,9.659,11.441,12.225,7.1925,8.293,female,breadth
F5,-0.129,0.0380000000000038,0.0129999999999999,-0.0299999999999994,NA,-0.0489999999999995,0.0679999999999978,NA,NA,8.4015,10.29,10.8225,7.166,NA,11.8815,11.787,NA,NA,female,breadth
F6,-0.118999999999998,-0.149000000000003,-9.99999999999446e-4,-0.0839999999999987,NA,NA,NA,-0.392,-0.696000000000001,7.9095,10.1645,10.5735,7.051,NA,NA,NA,7.51,8.274,female,breadth
F7,-0.176,-0.321,0.0239999999999974,-0.0309999999999997,0.00199999999999889,NA,-0.0450000000000017,-0.19,-0.343000000000002,8.418,10.4695,11.021,7.2735,10.002,NA,11.6955,7.858,9.1255,female,breadth
F8,-0.202,-0.414999999999997,-0.52,-0.264999999999999,NA,-0.151999999999999,NA,NA,NA,7.625,9.6505,9.931,6.7025,NA,10.853,NA,NA,NA,female,breadth
F9,-0.152,-0.0420000000000016,-0.145,-0.0499999999999998,-0.302000000000003,-0.202000000000002,-0.298999999999998,-0.228,-0.397999999999998,8.02,9.859,10.4695,6.859,9.694,11.02,10.7575,8.083,8.459,female,breadth
F1,-0.0319999999999983,0.205000000000004,-0.196999999999997,0.126999999999999,-0.343000000000002,-0.0279999999999987,-0.463000000000003,0.258,-0.346,9.226,11.3795,15.4025,7.9535,9.5385,11.543,12.5975,6.429,6.41,female,length
F10,NA,NA,NA,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,11.2125,NA,NA,female,length
F11,0.273,-0.258000000000001,0.181999999999999,0.408999999999999,0.00199999999999889,0.103,-0.106999999999999,0.328,-0.315000000000001,8.6625,10.435,13.933,7.0615,8.367,9.6645,10.5705,6.358,5.8155,female,length
F12,-0.279999999999996,NA,-0.700000000000003,NA,-0.782,NA,-0.402000000000001,-0.117000000000001,-0.523000000000001,10.521,NA,16.866,NA,9.314,NA,11.494,6.6675,6.5725,female,length
F13,0.340999999999999,NA,-0.388999999999996,NA,-0.201000000000001,-0.132999999999999,0.119000000000002,0.0549999999999997,-0.384,10.5635,NA,17.0675,NA,10.1815,12.5205,12.7955,6.9585,6.347,female,length
F14,-0.105000000000002,0.0190000000000001,-0.171000000000001,-0.282999999999999,-0.206999999999999,-0.412000000000001,-0.281000000000001,-0.214,-0.0920000000000005,8.6705,10.8355,14.4575,7.7565,9.4885,11.257,12.4245,6.815,6.86,female,length
F15,0.477000000000002,0.492000000000001,0.279,0.463000000000001,-0.0389999999999979,-0.0449999999999999,0.0250000000000021,0.0110000000000001,-0.742000000000001,9.0885,11.004,14.5085,7.4655,9.2635,11.2605,10.9105,6.6075,6.075,female,length
F16,0.288,-0.070999999999998,NA,0.507,0.0410000000000021,-0.191999999999998,-0.0499999999999989,-0.0220000000000011,-0.374999999999999,9.801,11.0385,NA,8.1195,9.8305,11.627,11.878,7.215,6.7035,female,length
F17,NA,NA,0.0360000000000014,NA,-0.612000000000002,-0.497,0.0559999999999992,0.0359999999999996,0.15,NA,NA,14.514,NA,9.322,11.4295,12.752,6.793,6.278,female,length
F18,0.879,0.433000000000002,0.238000000000001,NA,-0.0190000000000019,-0.130000000000003,-0.0870000000000015,0.153,-0.661999999999999,10.1955,12.2235,14.496,NA,10.0905,12.771,12.1525,6.8105,7.423,female,length
F19,NA,NA,NA,NA,-0.350000000000001,-0.606000000000002,-0.0810000000000031,-0.104000000000001,-0.941000000000001,NA,NA,NA,NA,9.793,12.36,12.9175,7.122,6.9815,female,length
F2,0.0670000000000002,0.582000000000001,0.0970000000000013,-0.247999999999999,-0.218000000000002,-0.493999999999996,-0.165999999999999,-0.375,-0.336999999999999,9.3235,10.957,16.3645,7.677,10.44,12.461,12.767,6.6985,6.8425,female,length
F20,NA,NA,NA,NA,-0.0699999999999985,0.143999999999998,-0.105000000000002,NA,0.13,NA,NA,NA,NA,10.307,12.509,13.0215,NA,7.329,female,length
F21,NA,NA,NA,NA,-0.475999999999999,0.0289999999999999,0.043000000000001,-0.839999999999999,-0.14,NA,NA,NA,NA,8.556,11.6435,12.5895,6.444,6.565,female,length
F22,NA,NA,NA,NA,0.379999999999999,-0.454000000000001,0.00799999999999734,-0.285999999999998,-0.900999999999999,NA,NA,NA,NA,9.679,12.469,12.944,6.622,6.9745,female,length
F23,NA,NA,NA,NA,-0.0779999999999994,0.368,-0.103999999999996,0.028999999999999,-0.747,NA,NA,NA,NA,10.818,13.382,13.387,6.4035,7.3565,female,length
F24,NA,NA,NA,NA,0.00300000000000544,-0.0319999999999983,-0.107000000000003,-0.319,-0.204,NA,NA,NA,NA,9.2795,12.398,12.5265,6.5265,6.667,female,length
F25,NA,NA,NA,NA,-0.0970000000000031,-0.101999999999999,-0.398000000000005,-0.366000000000001,-0.127,NA,NA,NA,NA,9.8225,12.481,13.361,6.623,6.6875,female,length
F26,NA,NA,NA,NA,0.190999999999997,0.308000000000003,0.129999999999999,NA,-0.17099999999999899,NA,NA,NA,NA,9.6415,12.614,13.027,NA,6.9855,female,length
F27,NA,NA,NA,NA,-0.00299999999999834,-0.467000000000002,-0.00900000000000212,NA,0.131,NA,NA,NA,NA,10.1625,12.4925,12.4775,NA,6.5115,female,length
F28,0.136000000000001,0.247,0.0330000000000013,0.217000000000001,NA,NA,NA,NA,NA,9.486,11.5685,14.9655,7.3305,NA,NA,NA,NA,NA,female,length
F29,NA,NA,NA,NA,0.250999999999999,-0.701000000000001,0.109000000000002,-0.332,0.180000000000001,NA,NA,NA,NA,9.6755,13.1135,12.8505,7.01,6.632,female,length
F3,0.0700000000000003,0.128000000000002,-0.0860000000000021,0.251,-0.119000000000002,NA,NA,-0.104000000000001,-0.173,9.303,11.63,15.623,7.5815,9.5835,NA,NA,6.66,6.2785,female,length
F30,NA,NA,NA,NA,NA,0.117000000000001,NA,NA,NA,NA,NA,NA,NA,NA,10.8595,NA,NA,NA,female,length
F31,NA,NA,NA,NA,NA,-0.854000000000003,-0.185999999999998,NA,NA,NA,NA,NA,NA,NA,10.889,11.717,NA,NA,female,length
F32,NA,NA,NA,NA,-0.0799999999999965,-0.239000000000001,0.544000000000002,1.77635683940025e-15,-0.145,NA,NA,NA,NA,10.708,12.4795,13.083,7.281,7.1475,female,length
F33,0.0740000000000016,-0.151,-0.0370000000000008,0.0150000000000032,NA,NA,NA,NA,NA,9.405,11.7505,15.5095,7.5155,NA,NA,NA,NA,NA,female,length
F34,NA,NA,NA,NA,-0.101000000000001,-0.233000000000002,-0.00300000000000011,-0.206,-0.116999999999999,NA,NA,NA,NA,8.4645,10.7825,11.6745,6.319,6.0045,female,length
F35,NA,NA,NA,NA,-0.241,0.247,-0.304999999999998,0.0559999999999992,-0.694999999999999,NA,NA,NA,NA,9.7035,12.0055,12.7015,6.89,6.8665,female,length
F36,NA,NA,NA,NA,-0.00300000000000011,0.345999999999997,NA,-0.487,0.0290000000000017,NA,NA,NA,NA,9.2895,10.756,NA,6.0635,5.9535,female,length
F37,NA,NA,NA,NA,0.00100000000000122,-0.105,-0.119000000000002,0.187,-0.399999999999999,NA,NA,NA,NA,9.7435,11.6375,11.8715,6.3635,6.513,female,length
F38,0.158999999999999,NA,-0.144999999999996,NA,NA,NA,NA,NA,NA,10.4895,NA,15.3265,NA,NA,NA,NA,NA,NA,female,length
F39,NA,NA,NA,NA,-0.097999999999999,-0.189,-0.414,NA,NA,NA,NA,NA,NA,9.328,11.7425,11.687,NA,NA,female,length
F4,0.344999999999999,NA,-0.457000000000001,0.616999999999997,-0.378,-0.584999999999999,-0.159999999999997,NA,0.0750000000000002,9.6285,NA,15.9135,7.9615,9.489,11.8675,12.241,NA,7.2375,female,length
F40,-0.00200000000000067,0.0469999999999988,0.157000000000002,NA,NA,NA,NA,NA,NA,9.554,11.4535,15.3475,NA,NA,NA,NA,NA,NA,female,length
F41,NA,NA,NA,NA,0.0080000000000009,-0.266,0.289,-0.0399999999999991,-0.0719999999999983,NA,NA,NA,NA,9.479,10.629,12.4965,6.497,6.245,female,length
F5,0.516999999999999,1.005,-0.590999999999998,-0.674,NA,0.0410000000000004,0.0400000000000009,NA,NA,9.5185,11.4275,16.1675,8.04,NA,12.1685,13.318,NA,NA,female,length
F6,-0.184000000000001,0.608000000000001,0.238,0.292999999999999,NA,NA,NA,0.558000000000002,0.0440000000000005,9.033,11.593,15.328,7.2735,NA,NA,NA,6.181,6.353,female,length
F7,0.351000000000003,0.183999999999999,0.0610000000000035,-0.0440000000000005,-0.302000000000001,NA,-0.144000000000004,0.185,-0.190999999999998,10.6265,12.337,17.5285,8.026,10.413,NA,13.477,6.9555,7.5065,female,length
F8,0.0299999999999994,0.0749999999999975,-0.459999999999999,0.0540000000000003,NA,0.0560000000000009,NA,NA,NA,9.346,11.4065,14.618,7.579,NA,10.773,NA,NA,NA,female,length
F9,-0.00199999999999534,0.185999999999998,-0.17099999999999899,0.161000000000001,-0.183999999999999,-0.120999999999999,-0.368000000000002,-0.344999999999999,0.043000000000001,9.895,12.013,14.5655,7.9895,9.707,12.0555,12.366,6.9895,6.9285,female,length
M1,-0.401,-0.201000000000001,-0.708,-0.108999999999998,-0.186,-0.104000000000001,0.257,-0.0370000000000026,-0.455,9.5785,11.6905,12.528,7.8845,10.866,12.624,13.3795,9.1825,9.6375,male,breadth
