Sex,Dimension,trait,Ind,n_reps,group_mean,group_sd,extreme_val,direction,Q_vs_mean,p_vs_mean,Q_vs_zero,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
female,breadth,mxm1,F27,10,-0.21983870967741936,0.19546220995211655,-0.040000000000000924,low,0.14285714285714432,0.42142176654514607,0.14285714285714432,0.42142176654514607,4.4642857142857147e-4,89,n.s.,4.4642857142857147e-4,89,n.s.
female,breadth,mxm1,F29,10,-0.21983870967741936,0.19546220995211655,-0.4900000000000002,low,0.2424242424242426,0.2615824576583825,0.2424242424242426,0.2615824576583825,3.448275862068966e-4,56,n.s.,3.448275862068966e-4,56,n.s.
female,breadth,mxm1,F3,10,-0.21983870967741936,0.19546220995211655,-0.3100000000000005,low,0.07692307692308217,0.5172723247104103,0.07692307692308217,0.5172723247104103,5.555555555555556e-4,111,n.s.,5.555555555555556e-4,111,n.s.
female,breadth,mxm1,F32,10,-0.21983870967741936,0.19546220995211655,-0.33000000000000007,low,0.3103448275862054,0.16612518939758086,0.3103448275862054,0.16612518939758086,2.9761904761904765e-4,33,n.s.,2.9761904761904765e-4,33,n.s.
female,breadth,mxm1,F34,10,-0.21983870967741936,0.19546220995211655,-0.7099999999999991,low,0.32653061224489927,0.817124346888718,0.32653061224489927,0.817124346888718,0.0016666666666666668,171,n.s.,0.0016666666666666668,171,n.s.
female,breadth,mxm1,F35,10,-0.21983870967741936,0.19546220995211655,-0.5299999999999994,low,0.17777777777777823,0.18154825026682087,0.17777777777777823,0.18154825026682087,3.048780487804878e-4,37,n.s.,3.048780487804878e-4,37,n.s.
female,breadth,mxm1,F36,10,-0.21983870967741936,0.19546220995211655,0.39000000000000057,high,0.25,0.6578930289122962,0.25,0.6578930289122962,8.064516129032258e-4,139,n.s.,8.064516129032258e-4,139,n.s.
female,breadth,mxm1,F37,10,-0.21983870967741936,0.19546220995211655,-0.3000000000000007,high,0.13043478260869365,0.8841675409895466,0.13043478260869365,0.8841675409895466,0.002272727272727273,179,n.s.,0.002272727272727273,179,n.s.
female,breadth,mxm1,F39,10,-0.21983870967741936,0.19546220995211655,-0.20999999999999908,high,0.161290322580652,0.903962645585721,0.161290322580652,0.903962645585721,0.003125,185,n.s.,0.003125,185,n.s.
female,breadth,mxm1,F4,10,-0.21983870967741936,0.19546220995211655,-0.049999999999998934,high,0.08108108108108354,0.5044491384365988,0.08108108108108354,0.5044491384365988,5.319148936170213e-4,107,n.s.,5.319148936170213e-4,107,n.s.
female,breadth,mxm1,F41,10,-0.21983870967741936,0.19546220995211655,-0.21999999999999886,high,0.14285714285714432,0.7964011056622577,0.14285714285714432,0.7964011056622577,0.0014705882352941176,167,n.s.,0.0014705882352941176,167,n.s.
female,breadth,mxm1,F7,10,-0.21983870967741936,0.19546220995211655,-0.21000000000000085,low,0.40000000000000235,0.3557330471871223,0.40000000000000235,0.3557330471871223,4.032258064516129e-4,77,n.s.,4.032258064516129e-4,77,n.s.
female,breadth,mxm1,F9,10,-0.21983870967741936,0.19546220995211655,-0.5199999999999996,low,0.249999999999999,0.4862946943495535,0.249999999999999,0.4862946943495535,5.154639175257732e-4,104,n.s.,5.154639175257732e-4,104,n.s.
female,breadth,mxm2,F1,10,-0.18484375000000006,0.24829697172481097,0.08000000000000007,high,0.2048192771084358,0.6882691945439418,0.20481927710843578,0.6882691945439418,8.928571428571429e-4,145,n.s.,8.928571428571429e-4,145,n.s.
female,breadth,mxm2,F11,10,-0.18484375000000006,0.24829697172481097,-0.40000000000000036,low,0.6585365853658524,0.44904896386298754,0.6585365853658524,0.44904896386298754,4.6728971962616824e-4,94,n.s.,4.6728971962616824e-4,94,n.s.
